Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
4,81,56,2.2,34.1,67.1
4,82,58,55.1,32.0,69.1
4,83,57,243.8,32.2,83.4
4,84,58,64.4,31.7,63.1
4,85,59,11.0,35.0,80.5
4,86,60,2.8,36.3,72.8
4,87,61,25.0,34.9,79.5
4,88,61,8.0,33.6,74.6
4,89,57,0.0,32.9,71.9
4,90,58,0.0,31.4,79.8
4,91,59,3.2,31.3,71.0
4,92,58,0.0,33.3,105.0
4,93,64,5.5,33.8,91.0
4,94,65,16.4,33.5,88.2
4,95,63,45.4,33.0,84.6
4,96,62,32.2,33.6,57.1
4,97,63,10.6,34.7,55.2
4,98,63,73.5,35.0,66.7
4,99,65,4.4,33.2,79.8
4,100,65,4.0,32.9,73.3
4,101,65,0.0,30.2,93.9
4,102,66,0.0,30.0,96.3
4,103,65,0.0,31.3,99.7
4,104,65,0.0,33.8,107.9
4,105,67,4.6,35.1,108.5
4,106,69,68.2,33.9,97.2
4,107,74,0.0,34.6,109.6
4,108,75,14.6,34.8,102.5
4,109,74,9.4,35.3,91.5
4,110,72,4.4,36.5,86.1
4,111,62,37.8,35.1,117.0
4,112,61,4.3,33.4,70.1
4,113,60,2.2,32.3,74.5
4,114,59,0.0,31.4,74.9
4,115,59,0.0,30.6,78.7
4,116,59,0.0,34.3,82.1
4,117,57,0.0,34.2,81.7
4,118,57,50.4,34.4,74.3
4,119,55,66.0,34.3,80.9
4,120,56,198.2,33.1,70.8
4,121,56,13.2,35.1,68.0
4,122,55,153.0,33.1,69.2
4,123,56,25.8,33.8,73.6
4,124,56,21.8,32.6,83.0
4,125,58,15.4,31.0,76.3
4,126,59,0.0,30.4,93.8
4,127,63,0.0,30.7,95.6
4,128,62,0.0,32.2,86.0
4,129,62,15.4,34.4,75.9
5,1,45,5.2,34.5,40.4
5,2,46,0.0,37.1,85.2
5,4,49,1.0,36.6,76.5
5,5,49,0.0,34.4,78.8
5,6,49,0.6,31.9,79.0
5,7,48,0.0,30.5,87.8
5,8,48,0.0,32.1,59.4
5,9,50,0.0,34.0,156.0
5,10,53,0.8,36.0,52.6
5,13,53,3.2,34.7,90.0
5,14,53,56.3,35.4,69.8
5,15,54,35.2,34.1,75.3
5,16,54,7.2,33.6,75.1
5,17,53,0.0,32.0,60.6
5,18,55,0.0,30.7,46.8
5,19,55,0.0,32.6,114.6
5,20,57,0.0,33.6,135.4
5,21,55,0.0,35.2,63.9
5,22,56,26.2,33.1,68.6
5,23,56,24.0,31.9,63.8
5,24,59,61.0,32.0,75.2
5,25,63,0.0,34.1,72.0
5,26,62,43.4,33.3,62.6
5,27,62,58.0,32.9,52.7
